A,B,C,D,E,F,G,H,I
0,0,185,70,1.6904,27.107,6.0707,-17.985,-17.75
1,1,185,70,1.6904,27.207,7.9505,-18.089,165.24
2,2,185,70,1.6904,27.098,8.8231,-19.218,340.79
3,3,185,70,1.6904,26.892,8.9305,-21.367,493.32
4,4,185,70,1.6904,26.744,9.0049,-24.032,615.08
5,5,185,70,1.6904,26.759,9.747,-26.362,706.17
6,6,185,70,1.6904,26.944,11.368,-27.535,771.94
7,7,185,70,1.6904,27.209,13.531,-27.221,819.33
8,8,185,70,1.6904,27.409,15.654,-25.875,853.88
9,9,185,70,1.6904,27.44,17.433,-24.119,878.31
10,10,185,70,1.6904,27.253,18.837,-22.395,892.72
11,11,185,70,1.6904,26.848,19.913,-20.907,895.64
12,12,185,70,1.6904,26.25,20.672,-19.651,885.41
13,13,185,70,1.6904,25.467,21.082,-18.526,861.3
14,14,185,70,1.6904,24.474,21.093,-17.483,824.17
15,15,185,70,1.6904,23.234,20.664,-16.606,776.53
16,16,185,70,1.6904,21.743,19.792,-16.011,722.15
17,17,185,70,1.6904,20.06,18.566,-15.734,665.29
18,18,185,70,1.6904,18.281,17.139,-15.705,610
19,19,185,70,1.6904,16.496,15.675,-15.782,559.47
20,20,185,70,1.6904,14.755,14.302,-15.799,515.75
21,21,185,70,1.6904,13.062,13.071,-15.632,479.74
22,22,185,70,1.6904,11.411,11.975,-15.234,451.37
23,23,185,70,1.6904,9.7968,10.964,-14.646,430.01
24,24,185,70,1.6904,8.2078,9.9609,-13.987,414.78
25,25,185,70,1.6904,6.6216,8.8831,-13.407,404.9
26,26,185,70,1.6904,5.0113,7.6794,-13.033,399.88
27,27,185,70,1.6904,3.3752,6.3847,-12.872,399.57
28,28,185,70,1.6904,1.7426,5.0854,-12.861,404.08
29,29,185,70,1.6904,0.15846,3.8773,-12.91,413.71
30,30,185,70,1.6904,-1.3389,2.8231,-12.953,428.79
31,31,185,70,1.6904,-2.7333,1.9408,-12.96,449.48
32,32,185,70,1.6904,-4.0301,1.2283,-12.911,475.68
33,33,185,70,1.6904,-5.2555,0.67963,-12.774,506.88
34,34,185,70,1.6904,-6.4315,0.3104,-12.514,542.15
35,35,185,70,1.6904,-7.5668,0.1416,-12.142,580.19
36,36,185,70,1.6904,-8.6623,0.17583,-11.744,619.45
37,37,185,70,1.6904,-9.7252,0.38523,-11.45,658.29
38,38,185,70,1.6904,-10.78,0.71847,-11.348,695.16
39,39,185,70,1.6904,-11.852,1.1199,-11.416,728.75
40,40,185,70,1.6904,-12.925,1.5698,-11.581,758.03
41,41,185,70,1.6904,-13.941,2.0936,-11.829,782.29
42,42,185,70,1.6904,-14.824,2.7421,-12.207,801.01
43,43,185,70,1.6904,-15.526,3.5596,-12.738,813.68
44,44,185,70,1.6904,-16.046,4.554,-13.371,819.6
45,45,185,70,1.6904,-16.43,5.6813,-14.035,817.64
46,46,185,70,1.6904,-16.747,6.8703,-14.766,806.21
47,47,185,70,1.6904,-17.048,8.0829,-15.708,783.32
48,48,185,70,1.6904,-17.347,9.3278,-16.981,746.93
49,49,185,70,1.6904,-17.619,10.652,-18.583,695.54
50,50,185,70,1.6904,-17.795,12.117,-20.41,628.93
51,51,185,70,1.6904,-17.769,13.79,-22.384,548.83
52,52,185,70,1.6904,-17.469,15.694,-24.545,459.38
53,53,185,70,1.6904,-16.863,17.833,-27.029,366.84
54,54,185,70,1.6904,-15.979,20.198,-29.898,278.74
55,55,185,70,1.6904,-14.877,22.791,-32.987,202.25
56,56,185,70,1.6904,-13.625,25.648,-35.882,142.61
57,57,185,70,1.6904,-12.271,28.832,-38.063,101.81
